company_name,company_id,id
"['Egg Pictures', 'PolyGram Filmed Entertainment', 'Canal+', 'Les Productions Lazennec', 'La Sept Cinéma', 'Kasso Inc. Productions', 'Studio Image', 'Cofinergie 6']","[802, 1382, 5358, 5869, 16366, 22684, 68517, 68518]",406
['Channel Four Films'],[181],45549
"['British Broadcasting Corporation (BBC)', 'Westdeutscher Rundfunk (WDR)', 'Canadian Broadcasting Corporation (CBC)', 'Cinemax Reel Life', 'InPictures', 'Lafayette Films']","[3324, 7025, 12113, 12911, 12912, 12913]",63076
"['Columbia Pictures', 'Castle Rock Entertainment']","[5, 97]",11062
"['Gracie Films', 'Columbia Pictures Corporation']","[18, 441]",13685
['Touchstone Pictures'],[9195],47475
"['Metro-Goldwyn-Mayer (MGM)', 'Dino De Laurentiis Company', 'Spelling Films']","[8411, 10308, 10355]",2045
"['Universal Pictures', 'Brillstein-Grey Entertainment', 'Robert Simonds Productions']","[33, 1606, 3929]",9614
"['Amblin Entertainment', 'Malpaso Productions', 'Warner Bros.']","[56, 171, 6194]",688
[],[],11907
"['Walt Disney Pictures', 'Jim Henson Productions', 'Jim Henson Company, The']","[2, 2504, 6254]",10874
[],[],89333
[],[],96357
"['Icon Entertainment International', 'The Ladd Company', 'B.H. Finance C.V.']","[4564, 7965, 11353]",197
"['Columbia Pictures Corporation', 'Italo/Judeo Productions', 'Bill/Phillips']","[441, 46059, 46060]",103
"['New Line Cinema', 'Golden Harvest Company']","[12, 2521]",33542
"['Caravan Pictures', 'Hollywood Pictures']","[175, 915]",43566
"['Téléfilm Canada', 'Skyline Films', 'Malofilm', 'Société de Développement des Entreprises Culturelles (SODEC)', 'British Screen Productions', 'National Film Board of Canada (NFB)', 'imX Communications', 'Glace Bay Pictures', 'Ciné Télé Action', 'Nova Scotia Film Development Corporation', 'Ranfilm']","[806, 2055, 3498, 9116, 12745, 17027, 22150, 38673, 38674, 40534, 85045]",71754
"['France 2 Cinéma', 'France 3 Cinéma', 'StudioCanal', 'Les Productions du Champ Poirier', 'Téléma Productions']","[83, 591, 694, 883, 885]",43612
[],[],51352
['Bavaria Film and Television Fund'],[3236],16934
"['TriStar Pictures', 'Motion Picture Corporation of America (MPCA)']","[559, 11061]",10324
['Savoy Pictures'],[11308],78406
['TriStar Pictures'],[559],55731
[],[],32119
['Paramount Pictures'],[4],11066
"['Jet Tone Production', 'The Criterion Collection']","[540, 10932]",11104
['Cecchi Gori Group Tiger Cinematografica'],[371],37975
['Miramax Films'],[14],2074
"['Studio Babelsberg', 'Dieter Geissler Filmproduktion', 'Cinevox Filmproduktion GmbH', 'Warner Bros.', 'Miramax']","[264, 1766, 1979, 6194, 53009]",27793
"['Canal Horizons', 'Mat Films', 'Cinétéléfilms']","[22029, 22618, 71842]",44284
[],[],290157
[],[],110972
[],[],32622
"['Fine Line Features', 'Channel Four Films', 'Bórd Scannán na hÉireann', 'Canal+']","[8, 181, 1898, 5358]",73067
['Paramount Pictures'],[4],11863
"['Cigua Films', ""D'Pelicula""]","[93488, 93489]",55475
[],[],124636
['Twentieth Century Fox Film Corporation'],[306],9101
['Couch Potatoe Productions'],[68229],123360
[],[],5757
"['Channel Four Films', 'Academy', 'Mayfair Films', 'Iberoamerica Films']","[181, 38778, 94477, 94478]",39428
[],[],124639
"['Cinergi Pictures Entertainment', 'Touchstone Pictures']","[1504, 9195]",9302
['United Artists'],[60],11000
[],[],249882
['Fox Searchlight Pictures'],[43],16388
"['Columbia Pictures', 'Don Simpson/Jerry Bruckheimer Films']","[5, 10288]",9737
['Warner Bros.'],[6194],30765
"['New Line Cinema', 'Island Pictures']","[12, 3492]",10474
"['Fine Line Features', 'BBC', 'British Screen Productions', 'Portman Productions']","[8, 5996, 12745, 16027]",22279
"['Channel Four Films', 'Zenith Entertainment', 'American Playhouse', 'Union Générale Cinématographique (UGC)', 'La Sept Cinéma', 'True Fiction Pictures']","[181, 3644, 3906, 7248, 16366, 37909]",30157
"['Imagine Entertainment', 'Universal Pictures']","[23, 33]",568
"['United Artists', 'Talisman Productions']","[60, 8989]",11780
"['October Films', 'Guild', 'Fastnet Films']","[236, 1214, 5353]",34996
"['Warner Bros.', 'Polygram Filmed Entertainment']","[6194, 31080]",414
"['Paris Films Productions', 'Five Films', 'Robert et Raymond Hakim']","[386, 387, 11290]",649
"['Columbia Pictures', 'Castle Rock Entertainment']","[5, 97]",1873
"['Miramax Films', 'InterAL']","[14, 30334]",5894
['PolyGram Filmed Entertainment'],[1382],1775
"['Universal Pictures', 'Amblin Entertainment', 'The Harvey Entertainment Company']","[33, 56, 11098]",8839
"['Universal Pictures', '40 Acres & A Mule Filmworks']","[33, 4319]",20649
"['Paramount Pictures', 'Kennedy/Marshall Company, The']","[4, 7383]",10329
"['Hollywood Pictures', 'Don Simpson/Jerry Bruckheimer Films']","[915, 10288]",8963
['Superior Pictures'],[4532],26564
"['Columbia Pictures', 'Los Hooligans Productions']","[5, 11705]",8068
"['TriStar Pictures', 'Mundy Lane Entertainment']","[559, 2510]",8512
"['Twentieth Century Fox Film Corporation', 'Cinergi Pictures Entertainment']","[306, 1504]",1572
"['Why Not Productions', 'Desperate Pictures', 'Blurco', 'The Teen Angst Movie Company']","[729, 1474, 2765, 18902]",13552
"['Touchstone Pictures', 'Merchant Ivory Productions']","[9195, 20740]",259209
"['Columbia Pictures Corporation', 'First Knight Productions']","[441, 10158]",6520
"['Regency Enterprises', 'Alcor Films', 'Canal+', 'Donner/Shuler-Donner Productions', 'Warner Bros.']","[508, 644, 5358, 5739, 6194]",9073
"['United Artists', 'Suftley']","[60, 87394]",10428
"['The Booking Office', ""Workin' Man Films""]","[12909, 12910]",17447
"['TriStar Pictures', 'Alliance Communications Corporation']","[559, 2480]",9886
"['Hollywood Pictures', 'Cinergi Pictures Entertainment']","[915, 1504]",9482
['TriStar Pictures'],[559],19326
['Miramax Films'],[14],9344
"['JDI productions', 'Lemon Sky Productions']","[13187, 13190]",9071
"['United Artists', 'Seraphim Films']","[60, 3557]",8973
"['The Ontario Film Development Corporation', 'First Choice Films', 'Atlantis Films', 'Telefilm Canada', 'Max Films Productions', 'Super Écran', 'Société Générale des Industries Culturelles du Québec (SOGIC)']","[1203, 2267, 4350, 7320, 7828, 11578, 35859]",15730
['Touchstone Pictures'],[9195],47608
"['Universal Pictures', 'Gramercy Pictures', 'Alphaville Films', 'View Askew Productions']","[33, 37, 11462, 16934]",2293
"['Twentieth Century Fox Film Corporation', 'Saban Entertainment', 'Toei Company']","[306, 2106, 9255]",9070
"['PolyGram Filmed Entertainment', 'Working Title Films']","[1382, 10163]",68274
"['Comet Film Produktion GmbH', 'Avrora Media', 'Cobblestone Pictures']","[16561, 38959, 38960]",48787
['Kino Link Company'],[37897],34574
['Columbia Pictures'],[5],1642
"['Twentieth Century Fox Film Corporation', '1492 Pictures']","[306, 436]",11472
['Party Productions'],[37890],36196
['Dimension Films'],[7405],11980
"['Playhouse International Pictures', 'American Playhouse', 'Samuel Goldwyn Company, The']","[2492, 3906, 28205]",58372
"['Killer Films', 'American Playhouse', 'Kardana Films', 'Chemical Films']","[1422, 3906, 38692, 39861]",32646
"['Hollywood Pictures', 'Cinergi Pictures Entertainment']","[915, 1504]",10533
[],[],56088
"['United Artists', 'Le Studio Canal+', 'Carolco Pictures']","[60, 183, 14723]",10802
['Miramax Films'],[14],10149
"['Spring Creek Productions', 'Warner Bros.', 'Hawn / Sylbert Movie Company']","[705, 6194, 16368]",18402
['Metro-Goldwyn-Mayer (MGM)'],[8411],9348
"['Malpaso Productions', ""Butcher's Run Films"", 'Warner Bros.']","[171, 3864, 6194]",139408
['Lightstorm Entertainment'],[574],281
"['Beta Film', 'Madeleine Films', 'Parc Film']","[1080, 1147, 14680]",5967
"['Hollywood Pictures', 'PolyGram Filmed Entertainment', 'Interscope Communications']","[915, 1382, 10201]",79593
['Savoy Pictures'],[11308],47939
"['Société Française de Production (SFP)', 'FIT Productions', 'Portman Productions']","[6849, 16026, 16027]",36834
"['Universal Pictures', 'Amblin Entertainment']","[33, 56]",9090
"['Regency Enterprises', 'Warner Bros.', 'Seagal/Nasso Productions', 'Victor Company of Japan (JVC)', 'Cutting Edge Films']","[508, 6194, 17825, 21480, 63906]",3512
['Hollywood Pictures'],[915],52856
[],[],77350
"['Twentieth Century Fox Film Corporation', 'Zucker Brothers Productions']","[306, 2851]",9560
"['Universal Pictures', 'Gordon Company', 'Davis Entertainment', 'Licht/Mueller Film Corporation']","[33, 1073, 1302, 6092]",9804
"['HBO', 'A BandApart', 'Rysher Entertainment']","[6068, 6911, 11661]",31611
['United Artists'],[60],65796
['Paramount Pictures'],[4],49805
['Twentieth Century Fox Film Corporation'],[306],26258
"['Canal+', 'Studio Trite', 'Caméra One']","[5358, 6453, 6454]",50797
"['PolyGram Audiovisuel', 'British Screen Productions']","[6367, 12745]",19155
"['Detour Film Production', 'Warner Bros.']","[98, 6194]",76
['Jack Giarraputo Productions'],[6365],11017
['Spelling Films International'],[18189],37141
"['Regency Enterprises', 'Alcor Films', 'Canal+', 'New Regency Pictures', 'Hera Productions']","[508, 644, 5358, 10104, 16192]",9382
"['Universal Pictures', 'Island World']","[33, 1595]",6715
['Full Moon Entertainment'],[4867],18256
"['The Rank Organisation', 'Bórd Scannán na hÉireann', 'Lantana', 'Price Entertainment']","[364, 1898, 4127, 23808]",22625
"['Miramax Films', 'View Askew Productions']","[14, 16934]",2292
"['New Line Cinema', 'American Zoetrope']","[12, 70]",1909
"['Warner Bros.', 'Baltimore Pictures']","[6194, 11407]",8984
"['Keystone Pictures', 'Dream Man Productions Inc']","[15709, 52095]",61813
['Paramount Pictures'],[4],4954
"['Savoy Pictures', 'Rysher Entertainment']","[11308, 11661]",62488
"['Fine Line Features', 'Channel Four Films', 'Capitol Films', 'TF1 Films Production', 'Canal+', 'Flach Film', ""Les Films de l'Astre""]","[8, 181, 826, 3823, 5358, 8277, 68141]",10531
"['Castle Rock Entertainment', 'Columbia Pictures Corporation']","[97, 441]",11929
"['New Line Cinema', 'Motion Picture Corporation of America (MPCA)']","[12, 11061]",8467
"['Ang Lee Productions', 'Good Machine', 'Central Motion Pictures']","[5528, 10565, 25345]",10451
"['Miramax Films', 'Alliance Entertainment', 'Ego Film Arts']","[14, 10166, 12800]",20156
['Savoy Pictures'],[11308],18395
['Touchstone Pictures'],[9195],522
"['Twentieth Century Fox Film Corporation', 'PolyGram Filmed Entertainment', 'Working Title Films', 'Prufrock Pictures']","[306, 1382, 10163, 34207]",397
"['Columbia Pictures', 'Castle Rock Entertainment']","[5, 97]",10525
['Twentieth Century Fox Film Corporation'],[306],27985
['Walt Disney Pictures'],[2],15789
['TriStar Pictures'],[559],27303
['Metro-Goldwyn-Mayer'],[21],21183
"['Italian International Film', 'Stéphan Films', 'MG']","[1429, 2359, 37581]",10954
[],[],47867
[],[],43475
['Miramax Films'],[14],72031
"['Fine Line Features', 'Kartemquin Films']","[8, 13042]",14275
"['WingNut Films', 'Miramax Films', 'New Zealand Film Commission', 'Fontana Productions']","[11, 14, 294, 2306]",1024
"['Caravan Pictures', 'Hollywood Pictures']","[175, 915]",17207
"['Columbia Pictures', 'Majestic Films International', 'Icon Entertainment International']","[5, 2630, 4564]",13701
"['Walt Disney Pictures', 'Caravan Pictures']","[2, 175]",14819
"['Universal Pictures', 'Bregman/Baer Productions']","[33, 11393]",32631
['Paramount Pictures'],[4],11777
['Geffen Pictures'],[360],628
"['Merchant Ivory Productions', 'Touchstone Pictures']","[2370, 9195]",87729
"['Caravan Pictures', 'Touchstone Pictures']","[175, 9195]",18713
"['Universal Pictures', 'Northern Lights Entertainment']","[33, 8816]",6280
"['Fountainbridge Films', 'Warner Bros.', 'Lee Rich Productions']","[414, 6194, 36854]",9061
"['Walt Disney Pictures', 'Trimark Pictures']","[2, 4063]",37108
['Twentieth Century Fox Film Corporation'],[306],6071
"['Lucasfilm', 'Twentieth Century Fox Film Corporation']","[1, 306]",11
['Columbia Pictures'],[5],9587
['Warner Bros.'],[6194],19101
"['Channel Four Films', 'Parallax Pictures']","[181, 983]",49980
['MK2 Productions'],[9209],17961
"['Aviacsa', 'Cinevista']","[84803, 84804]",18183
"['Bedford Falls Productions', 'TriStar Pictures', 'Pangaea']","[348, 559, 1656]",4476
['Universal Pictures'],[33],11008
"['Fine Line Features', 'New Line Cinema', 'Live Entertainment']","[8, 12, 285]",47504
"['Channel Four Films', 'Cineville', 'Home Box Office (HBO)', 'Showcase Entertaiment Inc.']","[181, 2832, 3268, 36836]",32325
['Warner Bros.'],[6194],43742
['Paramount Pictures'],[4],28313
"['Channel Four Films', 'Samuel Goldwyn Company', 'Close Call Films']","[181, 798, 23022]",11318
"['American Zoetrope', 'TriStar Pictures']","[70, 559]",3036
['Walt Disney Pictures'],[2],40490
['TriStar Pictures'],[559],24070
"['Paramount Pictures', 'The Kennedy/Marshall Company']","[4, 862]",8986
['Twentieth Century Fox Film Corporation'],[306],10510
['Hollywood Pictures'],[915],17402
"['American Zoetrope', 'American Playhouse', 'Majestic Films International', 'Newcomb Productions']","[70, 3906, 20928, 89873]",38722
"['Wolper Organization', 'Warner Bros.']","[2428, 6194]",8438
"['Paramount Pictures', 'Capella International', 'Cinehaus']","[4, 594, 761]",11593
"['Twentieth Century Fox Film Corporation', 'Egg Pictures', 'PolyGram Filmed Entertainment']","[306, 802, 1382]",1945
['40 Acres & A Mule Filmworks'],[4319],39310
"['TOEI', 'Distant Justice Joint Venture']","[7260, 42935]",109560
['Metrodome Films'],[11139],56428
"['Filmwerks', 'Imperial Entertainment']","[7954, 21437]",63105
['Triumph Films'],[23098],131957
"['Regency Enterprises', 'Alcor Films', 'Ixtlan', 'Warner Bros.', 'New Regency Pictures', 'J D Productions']","[508, 644, 4198, 6194, 10104, 68551]",241
['TriStar Pictures'],[559],9058
"['Avalon Studios', 'New Zealand Film Commission', 'New Zealand On Air']","[293, 294, 295]",527
"['New Line Cinema', 'CineTel Pictures', 'MG Entertainment']","[12, 17067, 17068]",18220
"['Kopelson Entertainment', 'Punch Productions', 'Warner Bros.', 'Arnold Kopelson Productions']","[824, 2154, 6194, 16775]",6950
"['Columbia Pictures', 'Gaumont']","[5, 9]",101
"['Samuel Goldwyn Company, The']",[28205],63020
['Hollywood Pictures'],[915],2307
"['Miramax Films', 'A Band Apart', 'Jersey Films']","[14, 59, 216]",680
"['Polygram Filmed Entertainment', 'Gramercy Pictures (I)', 'MVP Films']","[31080, 31715, 37580]",41478
['Ang Lee Productions'],[5528],25296
"['BBC Films', 'PolyGram Filmed Entertainment', 'Miramax']","[288, 1382, 53009]",40156
"['Wildwood Enterprises', 'Hollywood Pictures', 'Baltimore Pictures']","[316, 915, 11407]",11450
"['Cecile Company', 'Thousand Cranes Filmworks']","[84839, 84840]",30304
"['Renn Productions', 'Eurimages', 'Canal+', 'ARD/Degeto Film GmbH', 'D.A. Films', 'France2 Cinéma', 'WMG Film', 'Centre National de la Cinématographie (CNC)', 'N.E.F. Filmproduktion und Vertriebs GmbH', 'Miramax', 'RCS Films & TV']","[82, 850, 5358, 6187, 6541, 7089, 8923, 18367, 18495, 53009, 75913]",10452
['TriStar Pictures'],[559],12106
"['Hollywood Pictures', 'Interscope Communications', 'Nomura Babcock & Brown']","[915, 10201, 12883]",161495
['Miramax Films'],[14],3586
"['Zespół Filmowy TOR', 'Le Studio Canal+', 'France 3 Cinéma', 'Télévision Suisse-Romande']","[38, 183, 591, 1245]",110
"['France 3 Cinéma', 'CED Productions']","[591, 1610]",108
"['Le Studio Canal+', 'France 3 Cinéma', 'Eurimages']","[183, 591, 850]",109
[],[],159185
[],[],36357
"['Allegro Films', 'Norstar Entertainment', 'west wind entertainment']","[4899, 16953, 24946]",92769
['Paramount Pictures'],[4],28033
['Rich Animation Studios'],[4108],22586
"['Jones Entertainment Group', 'Skerry Productions']","[29272, 29273]",14334
"['Jerry Weintraub Productions', 'Warner Bros.', 'Iguana Producciones']","[2596, 6194, 11134]",2636
"['Centropolis Entertainment', 'StudioCanal', 'Carolco Entertainment']","[347, 694, 10320]",2164
"['Walt Disney Pictures', 'Hollywood Pictures']","[2, 915]",11395
"['Castle Rock Entertainment', 'Warner Bros.']","[97, 6194]",278
"['Channel Four Films', 'Figment Films', 'The Glasgow Film Fund', 'PolyGram Filmed Entertainment']","[181, 359, 980, 1382]",9905
['Kino Korsakoff'],[78701],87078
"['Miramax Films', 'Tabasco films', 'Instituto Mexicano de Cinematografía (IMCINE)', 'TeleMadrid']","[14, 6647, 8861, 10015]",12527
"['Cineville', 'Trimark Pictures']","[2832, 4063]",20306
['Samuel Goldwyn Company'],[798],36614
"['New Line Cinema', '1992 Number Four Limited Partnership', 'MHA']","[12, 4733, 4734]",27993
"['Shanghai Film Studios', 'Era International Ltd']","[1078, 25299]",31439
['Trilogy Entertainment Group'],[2231],9067
"['Universal Pictures', 'Tales From The Crypt Holdings']","[33, 69626]",9059
['Paramount Pictures'],[4],193
"['40 Acres & A Mule Filmworks', 'Savoy Pictures']","[4319, 11308]",25066
[],[],46797
['Universal Pictures'],[33],12122
['Paramount Pictures'],[4],11381
['Sony Pictures Classics'],[58],32636
['Populist Pictures'],[14729],36141
"['Savoy Pictures', 'Price Entertainment', 'Jackson/McHenry Company,The']","[11308, 23808, 37350]",95963
['Paramount Pictures'],[4],1587
['Paramount Pictures'],[4],9271
"['Caravan Pictures', 'Hollywood Pictures']","[175, 915]",2064
['Universal Pictures'],[33],19855
"['Fine Line Features', 'Téléfilm Canada', 'First Generation Films', 'National Film Board of Canada (NFB)', 'British Columbia Film Commission']","[8, 806, 4908, 17027, 36024]",60855
"['Ciby 2000', 'Film Victoria', 'House & Moorhouse Films']","[105, 11840, 39250]",236
"['Columbia Pictures Corporation', 'Beacon Pictures']","[441, 10157]",48287
"['Warner Bros.', 'Morgan Creek Productions']","[6194, 10210]",3049
['PolyGram Filmed Entertainment'],[1382],2759
['Gramercy Pictures'],[37],12635
"['Fine Line Features', 'R.P. Productions', 'Columbia Pictures Corporation', 'Les Films Alain Sarde', 'Canal+', 'Timothy Burrill Productions']","[8, 355, 441, 635, 5358, 8131]",10497
['Miramax Films'],[14],11382
"['Paramount Pictures', 'Mace Neufeld Productions']","[4, 2767]",9331
"['Regency Enterprises', 'Alcor Films', 'Warner Bros.']","[508, 644, 6194]",10731
['New Line Cinema'],[12],10464
"['Universal Pictures', '40 Acres & A Mule Filmworks']","[33, 4319]",34152
"['Miramax Films', 'Crowvision Inc.', 'Entertainment Media Investment Corporation', 'Jeff Most Productions', 'Edward R. Pressman Film']","[14, 4028, 4029, 4030, 6455]",9495
"['Regency Enterprises', 'Alcor Films', 'Warner Bros.', 'Aleor Films']","[508, 644, 6194, 16823]",29973
"['Universal Pictures', 'Amblin Entertainment', 'Hanna-Barbera Productions']","[33, 56, 1353]",888
['Paramount Pictures'],[4],13
"['Channel Four Films', 'PolyGram Filmed Entertainment', 'Working Title Films']","[181, 1382, 10163]",712
"['Columbia Pictures Corporation', 'New Deal Productions']","[441, 1947]",16295
"['Columbia Pictures Corporation', 'Think Again Productions', 'Riot of Color']","[441, 37294, 37295]",48992
"['Caravan Pictures', 'Touchstone Pictures']","[175, 9195]",10879
['TriStar Pictures'],[559],10660
[],[],10714
"['Channel Four Films', 'Arte', 'Zweites Deutsches Fernsehen (ZDF)', 'Nomad Films', 'Omega Film GmbH', 'Without Walls']","[181, 201, 4606, 12914, 12915, 12916]",41647
"['Walt Disney Pictures', 'Walt Disney Feature Animation']","[2, 10217]",8587
['Miramax Films'],[14],1689
['New Line Cinema'],[12],11596
"['New Line Cinema', 'Dark Horse Entertainment']","[12, 552]",854
"['Icon Entertainment International', 'Warner Bros.']","[4564, 6194]",9359
"['Fine Line Features', 'Miramax Films']","[8, 14]",23333
['Paramount Pictures'],[4],36593
"['Imagine Entertainment', 'Universal Pictures']","[23, 33]",12280
