director_name,director_id,id,budget,popularity,revenue,runtime,title,vote_average,vote_count,release_year,release_month,release_day,collection_id,collection_name,War,Thriller,Music,Fantasy,TV Movie,Crime,Action,Documentary,Western,History,Family,Mystery,Romance,Animation,Drama,Comedy,Foreign,Adventure,Science Fiction,Horror,director_recent_movie_ids,average_director_movie_revenue
Nick Park,7314.0,530,17300,7.617298,40118,23.0,A Grand Day Out,7.4,199.0,1990,5,18,529,Wallace & Gromit Collection,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,[54825],11028375
James Cameron,2710.0,218,6400000,19.293562,78371200,108.0,The Terminator,7.4,4208.0,1984,10,26,528,The Terminator Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,[31646],10391197
Roman Polanski,3556.0,829,6000000,12.29227,30000000,130.0,Chinatown,7.9,939.0,1974,6,20,359005,The Jake Gittes Collection,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"[805, 11481, 11316, 3053, 4772, 81522, 196253]",33395426
Sam Raimi,7623.0,765,3500000,13.520764,10900000,84.0,Evil Dead II,7.5,760.0,1987,3,13,1960,Evil Dead Collection,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"[764, 21627, 2186]",29612367
Robert Zemeckis,24.0,105,19000000,25.778509,381109762,116.0,Back to the Future,8.0,6239.0,1985,7,3,264,Back to the Future Collection,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,"[9326, 14475, 55457]",49143780
Russell Mulcahy,52968.0,8009,19000000,16.870392,12900000,116.0,Highlander,6.8,642.0,1986,3,7,8050,Highlander Collection,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,[26178],801000
Samuel Armstrong,5691.0,756,2280000,8.03796,76411819,124.0,Fantasia,7.2,831.0,1940,11,13,55427,Fantasia Collection,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,[],0
Godfrey Reggio,68993.0,11314,600000,8.802715,3200000,87.0,Koyaanisqatsi,7.7,140.0,1982,6,6,173344,Qatsi Collection,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,[],0
Steven Spielberg,488.0,89,48000000,14.788987,474171806,127.0,Indiana Jones and the Last Crusade,7.6,3221.0,1989,5,24,84,Indiana Jones Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"[601, 85, 87, 873, 10110, 11519, 15301]",264747770
David Fincher,7467.0,8077,50000000,17.126768,159773545,114.0,Alien³,6.2,1664.0,1992,5,22,8091,Alien Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,[],0
Richard Fleischer,2087.0,27214,6000000,7.893775,6333135,105.0,Amityville 3-D,4.0,40.0,1983,11,18,397842,The Amityville Horror Collection,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[15310, 26173, 38027, 38556]",7041317
Damiano Damiani,35256.0,16235,5000000,12.10181,12534817,104.0,Amityville II: The Possession,5.9,59.0,1982,9,24,397842,The Amityville Horror Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[10915, 150658, 183635, 260888, 92853, 118876]",4519833
Stuart Rosenberg,13859.0,11449,4700000,14.00318,86432000,117.0,The Amityville Horror,6.2,192.0,1979,7,27,397842,The Amityville Horror Collection,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"[75641, 29735, 45512, 32620, 49411, 38082]",2600000
Irvin S. Yeaworth Jr.,56141.0,8851,110000,7.079055,4000000,86.0,The Blob,6.2,147.0,1958,9,12,422193,The Blob Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,[],0
James Whale,2917.0,229,393750,7.000417,2000000,75.0,Bride of Frankenstein,7.4,208.0,1935,4,21,218406,Frankenstein (Universal Series),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"[3035, 10787, 31592, 22301, 95797]",10000000
Brian De Palma,1150.0,7340,1800000,9.277692,33800000,98.0,Carrie,7.0,977.0,1976,11,3,257053,Carrie Collection,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[4780, 27327, 42589, 89417, 22307, 73604, 64936, 74137, 98048]",1822681
Wes Craven,5140.0,377,1800000,13.694713,57004513,91.0,A Nightmare on Elm Street,7.2,1212.0,1984,11,14,8581,A Nightmare on Elm Street Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[17918, 12262, 33016, 81009, 37938]",25000000
Richard Donner,7187.0,794,2800000,16.641277,60922980,111.0,The Omen,7.2,485.0,1976,6,6,10919,The Omen Collection,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[77925],6356289
Lars von Trier,42.0,145,7500000,8.558688,23000000,159.0,Breaking the Waves,7.2,213.0,1996,5,13,498,Heart of Gold Collection,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"[9065, 22137, 29445, 34870]",7151062
Jonathan Frakes,2388.0,199,46000000,8.808497,146027888,111.0,Star Trek: First Contact,7.0,671.0,1996,11,21,115570,Star Trek: The Next Generation Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,[],0
