budget,id,popularity,revenue,runtime,title,vote_average,vote_count,release_year,release_month,release_day,collection_id,collection_name,War,Thriller,Music,Fantasy,TV Movie,Crime,Action,Documentary,Western,History,Family,Mystery,Romance,Animation,Drama,Comedy,Foreign,Adventure,Science Fiction,Horror
6000000,12268,5.58692,33833201,103.0,The Pink Panther Strikes Again,6.8,119.0,1976,12,15,937,The Pink Panther (Original) Collection,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
12000000,6081,6.970037,49579269,104.0,Revenge of the Pink Panther,6.4,121.0,1978,7,19,937,The Pink Panther (Original) Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11000000,36576,8.046375,4491986,109.0,Curse of the Pink Panther,3.6,42.0,1983,8,12,937,The Pink Panther (Original) Collection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15000000,941,13.183804,120200000,110.0,Lethal Weapon,7.0,1367.0,1987,3,6,945,Lethal Weapon Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
25000000,942,12.834276,227900000,114.0,Lethal Weapon 2,6.7,1066.0,1989,7,7,945,Lethal Weapon Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
35000000,943,10.786007,321700000,118.0,Lethal Weapon 3,6.4,824.0,1992,5,15,945,Lethal Weapon Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
16500000,816,11.749159,67711748,94.0,Austin Powers: International Man of Mystery,6.5,1033.0,1997,5,2,1006,Austin Powers Collection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
33000000,817,13.984182,312016928,95.0,Austin Powers: The Spy Who Shagged Me,6.1,1034.0,1999,6,8,1006,Austin Powers Collection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
125000000,671,38.187238,976475550,152.0,Harry Potter and the Philosopher's Stone,7.5,7188.0,2001,11,16,1241,Harry Potter Collection,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
100000000,672,29.741452,876688482,161.0,Harry Potter and the Chamber of Secrets,7.4,5966.0,2002,11,13,1241,Harry Potter Collection,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
130000000,673,28.460276,789804554,141.0,Harry Potter and the Prisoner of Azkaban,7.7,6037.0,2004,5,31,1241,Harry Potter Collection,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
150000000,674,24.903058,895921036,157.0,Harry Potter and the Goblet of Fire,7.5,5758.0,2005,11,5,1241,Harry Potter Collection,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
150000000,675,21.3643,938212738,138.0,Harry Potter and the Order of the Phoenix,7.4,5633.0,2007,6,28,1241,Harry Potter Collection,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
250000000,767,19.083723,933959197,153.0,Harry Potter and the Half-Blood Prince,7.4,5435.0,2009,7,7,1241,Harry Potter Collection,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
250000000,12444,23.300362,954305868,146.0,Harry Potter and the Deathly Hallows: Part 1,7.5,5708.0,2010,10,17,1241,Harry Potter Collection,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
8000000,170,17.656951,85700000,113.0,28 Days Later,7.1,1816.0,2002,10,31,1565,28 Days/Weeks Later Collection,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
28000000,562,16.640522,140767956,131.0,Die Hard,7.5,4005.0,1988,7,15,1570,Die Hard Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70000000,1573,18.785984,240031094,124.0,Die Hard 2,6.6,1920.0,1990,7,2,1570,Die Hard Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90000000,1572,15.138855,366101666,128.0,Die Hard: With a Vengeance,6.9,2094.0,1995,5,19,1570,Die Hard Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
110000000,1571,14.886039,383531464,128.0,Live Free or Die Hard,6.4,2122.0,2007,6,20,1570,Die Hard Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,1366,14.774066,225300000,119.0,Rocky,7.5,1843.0,1976,11,21,1575,Rocky Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7000000,1367,11.789813,85200000,119.0,Rocky II,6.9,948.0,1979,6,15,1575,Rocky Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17000000,1371,11.673366,270000000,99.0,Rocky III,6.6,894.0,1982,5,28,1575,Rocky Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31000000,1374,10.25721,300500000,91.0,Rocky IV,6.6,984.0,1985,11,21,1575,Rocky Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42000000,1375,14.007329,120000000,104.0,Rocky V,5.3,688.0,1990,10,18,1575,Rocky Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24000000,1246,11.697604,155900000,102.0,Rocky Balboa,6.5,858.0,2006,12,20,1575,Rocky Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13500000,1498,13.184585,201965915,93.0,Teenage Mutant Ninja Turtles,6.5,486.0,1990,3,30,1582,Teenage Mutant Ninja Turtles (Original) Collection,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0
25000000,1497,7.994266,78656813,88.0,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,5.8,290.0,1991,3,22,1582,Teenage Mutant Ninja Turtles (Original) Collection,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0
95000000,9342,11.348096,250300000,136.0,The Mask of Zorro,6.3,1211.0,1998,7,16,1657,Zorro Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5800000,871,17.784978,32589624,112.0,Planet of the Apes,7.5,958.0,1968,2,7,1709,Planet of the Apes Original Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
3000000,1685,12.325947,18999718,95.0,Beneath the Planet of the Apes,6.2,370.0,1970,5,1,1709,Planet of the Apes Original Collection,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2500000,1687,12.120267,12400000,98.0,Escape from the Planet of the Apes,6.3,270.0,1971,5,20,1709,Planet of the Apes Original Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1700000,1688,12.843375,9700000,88.0,Conquest of the Planet of the Apes,6.1,243.0,1972,6,29,1709,Planet of the Apes Original Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
80000000,564,23.984065,415885488,124.0,The Mummy,6.6,2796.0,1999,4,16,1733,The Mummy Collection,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
98000000,1734,16.945657,443280904,130.0,The Mummy Returns,6.0,2258.0,2001,4,28,1733,The Mummy Collection,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10000000,553,9.808595,16690617,178.0,Dogville,7.6,619.0,2003,5,19,1952,USA: Land of Opportunities Collection,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
350000,764,10.421679,29612367,85.0,The Evil Dead,7.3,913.0,1981,10,15,1960,Evil Dead Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3500000,765,13.520764,10900000,84.0,Evil Dead II,7.5,760.0,1987,3,13,1960,Evil Dead Collection,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3500000,11838,7.614692,3657876,92.0,Ju-on: The Grudge,6.7,199.0,2002,10,18,1972,Ju-on Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10000000,1970,9.740827,183474602,92.0,The Grudge,5.8,889.0,2004,10,22,1974,The Grudge Collection,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20000000,1975,6.768804,39143839,102.0,The Grudge 2,5.3,288.0,2006,10,13,1974,The Grudge Collection,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60000000,808,17.987728,488628188,90.0,Shrek,7.3,4183.0,2001,5,16,2150,Shrek Collection,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
150000000,809,16.22986,935454538,93.0,Shrek 2,6.7,3082.0,2004,5,19,2150,Shrek Collection,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
160000000,810,14.072479,813367380,93.0,Shrek the Third,6.0,2355.0,2007,5,17,2150,Shrek Collection,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
5473145,1285,4.522887,19888231,91.0,Torrente 3 The Protector,5.5,37.0,2005,9,30,2248,Torrente Collection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22000000,277,20.624333,95708457,121.0,Underworld,6.6,2556.0,2003,9,19,2326,Underworld Collection,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50000000,834,12.496805,111476513,106.0,Underworld: Evolution,6.4,1548.0,2006,1,12,2326,Underworld Collection,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
35000000,12437,11.654958,92158961,92.0,Underworld: Rise of the Lycans,6.2,1447.0,2009,1,22,2326,Underworld Collection,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
70000000,52520,12.345348,160112671,88.0,Underworld: Awakening,6.1,1885.0,2012,1,19,2326,Underworld Collection,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
63000000,603,33.366332,463517383,136.0,The Matrix,7.9,9079.0,1999,3,30,2344,The Matrix Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
150000000,604,16.229317,738599701,138.0,The Matrix Reloaded,6.7,3500.0,2003,5,15,2344,The Matrix Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
7000000,578,19.726114,470653000,124.0,Jaws,7.5,2628.0,1975,6,18,2366,The Jaws Collection,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
