belongs_to_collection,budget,genres,id,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
"{'id': 218406, 'name': 'Frankenstein (Universal Series)'}",291000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",3035,en,Frankenstein,Henry Frankenstein is a doctor who is trying to discover a way to make the dead walk. He succeeds and creates a monster that has to deal with living again.,8.091603,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1931-11-21,12000000.0,71.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The man who made a monster.,Frankenstein,7.3,295.0
"{'id': 84923, 'name': 'The Orphic Trilogy'}",0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",36877,fr,Le sang d'un poète,"Told in four episodes, an unnamed artist is transported through a mirror into another dimension, where he travels through various bizarre scenarios. This film is the first part of Cocteau's Orphic Trilogy, which consists of The Blood of a Poet (1930), Orpheus (1950) and Testament of Orpheus (1960).",1.547374,"[{'name': 'Vicomte de Noailles', 'id': 1965}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",1932-01-20,0.0,55.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,The Blood of a Poet,6.7,27.0
"{'id': 38451, 'name': 'Charlie Chan (Warner Oland) Collection'}",0.0,"[{'id': 9648, 'name': 'Mystery'}]",267333,en,Charlie Chan's Chance,"Charlie is the intended murder victim here, and he avoids death only by chance. To find the murderer (since, of course, murder does occur), Charlie must outguess Scotland Yard and New York City police.",0.007941,"[{'name': 'Fox Film Corporation', 'id': 5488}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1932-01-24,0.0,73.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"With eyes that see all, lips that tell nothing, Charlie Chan unmasks the most sinister crime of his career.",Charlie Chan's Chance,0.0,0.0
"{'id': 65249, 'name': 'Tarzan (Johnny Weissmuller series)'}",0.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",26845,en,Tarzan the Ape Man,"James Parker and Harry Holt are on an expedition in Africa in search of the elephant burial grounds that will provide enough ivory to make them rich. Parker's beautiful daughter Jane arrives unexpectedly to join them. Jane is terrified when Tarzan and his ape friends first abduct her, but when she returns to her father's expedition she has second thoughts about leaving Tarzan.",4.179063,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1932-04-02,0.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Mothered by an ape--He knew only the law of the jungle--to seize what he wanted!,Tarzan the Ape Man,6.5,42.0
"{'id': 164072, 'name': 'Baby Burlesks'}",0.0,[],156389,en,Runt Page,A kids parody of the Academy nominated movie The Front Page (1931).,0.14299,[],[],1932-04-11,0.0,10.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Runt Page,5.3,2.0
"{'id': 164072, 'name': 'Baby Burlesks'}",0.0,[],156388,en,The Pie-Covered Wagon,Baby Burlesk on wagon train fight with Indians.,0.008399,[],[],1932-10-30,0.0,10.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Pie-Covered Wagon,0.0,0.0
"{'id': 156152, 'name': 'La Trilogie Marseillaise'}",0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",43146,fr,Fanny,"Picking up moments after the end of Marius, this film follows Fanny’s grief after Marius’s departure—and her realization that she’s pregnant. Panisse continues courting her and embraces the baby’s impending arrival as a gift, so long as its paternity remains a secret. Fanny and Panisse wed, but after her baby’s birth, Marius returns unexpectedly and demands what he believes is still his.",0.507325,"[{'name': 'Les Films Marcel Pagnol', 'id': 19160}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",1932-11-02,0.0,140.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Fanny,6.6,9.0
"{'id': 221544, 'name': 'The Mummy (Universal Series)'}",196000.0,"[{'id': 27, 'name': 'Horror'}]",15849,en,The Mummy,"An ancient Egyptian priest called Imhotep is revived when an archaeological expedition finds his mummy and one of the archaeologists accidentally reads an ancient life-giving spell. Imhotep, escaping from the field site, goes in search for the reincarnation of the soul of his lover.",12.190044,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1932-12-22,0.0,73.0,"[{'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,It comes to life!,The Mummy,6.9,121.0
"{'id': 135495, 'name': 'King Kong (1933 series)'}",672000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",244,en,King Kong,An adventure film about a film crew in search of a monster on a remote island. The crew finds King Kong and decides to take him back to New York as a money making spectacle. The film is a masterpiece of Stop-Motion in filmmaking history and inspired a line of King Kong films.,8.73274,"[{'name': 'RKO Radio Pictures', 'id': 6}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1933-04-07,10000000.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A Monster of Creation's Dawn Breaks Loose in Our World Today!,King Kong,7.7,346.0
"{'id': 38451, 'name': 'Charlie Chan (Warner Oland) Collection'}",0.0,"[{'id': 9648, 'name': 'Mystery'}]",413669,en,Charlie Chan's Greatest Case,Charlie Chan's Greatest Case,0.00554,"[{'name': 'Fox Film Corporation', 'id': 5488}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1933-09-14,0.0,70.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Charlie Chan's Greatest Case,0.0,0.0
"{'id': 259401, 'name': 'The Invisible Man (Universal Series)'}",328000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",10787,en,The Invisible Man,"Working in Dr. Cranley's laboratory, scientist Jack Griffin was always given the latitude to conduct somhe of his own experiments. His sudden departure, however, has Cranley's daughter Flora worried about him. Griffin has taken a room at the nearby Lion's Head Inn, hoping to reverse an experiment he conducted on himself that made him invisible. Unfortunately, the drug he used has also warped his mind, making him aggressive and dangerous. He's prepared to do whatever it takes to restore his appearance, and several will die in the process.",5.192905,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1933-11-13,0.0,71.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,CARL LAEMMLE presents H.G. WELLS' FANTASTIC SENSATION,The Invisible Man,7.3,151.0
"{'id': 135495, 'name': 'King Kong (1933 series)'}",250000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",43149,en,The Son of Kong,Beleaguered adventurer Carl Denham returns to the island where he found King Kong.,1.771424,"[{'name': 'RKO Radio Pictures', 'id': 6}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1933-12-22,0.0,70.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,SEE! The cannibals! The earthquake! The sea serpent! The fighting monsters of ages past!,The Son of Kong,5.2,31.0
"{'id': 65249, 'name': 'Tarzan (Johnny Weissmuller series)'}",95.0,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",18994,en,Tarzan and His Mate,"Harry Holt returns to Africa to head up a large ivory expedition. This time he brings his womanizing friend Marlin Arlington. Holt also harbors ideas about convincing Jane to return to London. When Holt and Arlington show Jane some of the modern clothes and perfumes they brought from civilization, she is impressed but not enough to return.",12.73076,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1934-04-20,0.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Johnny Weismuller is back again!,Tarzan and His Mate,6.1,38.0
"{'id': 47814, 'name': 'The Thin Man Collection'}",226408.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",3529,en,The Thin Man,"After a four year absence, one time detective Nick Charles returns to New York with his new wife Nora and their dog, Asta. Nick re-connects with many of his old cronies, several of whom are eccentric characters, to say the least. He's also approached by Dorothy Wynant whose inventor father Clyde Wynant is suspected of murdering her step-mother. Her father had left on a planned trip some months before and she has had no contact with him. Nick isn't all that keen on resuming his former profession but egged-on by wife Nora, who thinks this all very exciting, he agrees to help out. He solves the case, announcing the identity of the killer at a dinner party for all of the suspects.",10.573867,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1934-05-25,1423000.0,93.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A laugh tops every thrilling moment!,The Thin Man,7.4,97.0
"{'id': 38451, 'name': 'Charlie Chan (Warner Oland) Collection'}",0.0,"[{'id': 9648, 'name': 'Mystery'}]",267336,en,Charlie Chan's Courage,Charlie is hired to deliver a pearl necklace to a millionaire at his ranch. When murder intervenes he disguises himself as a Chinese servant and begins sleuthing.,0.119178,"[{'name': 'Fox Film Corporation', 'id': 5488}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1934-07-06,0.0,70.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Charlie Chan's Courage,0.0,0.0
"{'id': 38451, 'name': 'Charlie Chan (Warner Oland) Collection'}",0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}]",33391,en,Charlie Chan in London,"After receiving congratulations from the Home Secretary for solving his most recent case, Charlie is sought out by Pamela Gray, a beautiful but desperate young socialite whose brother Paul awaits execution for the murder of a weapons inventor. She is so convinced of his innocence that she becomes distraught when she overhears Neil Howard, her brother's lawyer and her fiancee, confide to the detective his belief in his client's guilt. Angered at this disclosure, she returns his ring and breaks off the engagement. Although the execution will take place in 65 hours, Charlie pledges to expose the murderer. All potential suspects are reassembled in the country mansion of family friend Geoffrey Richmond, where the murder took place, as Charlie tries to expose the real murderer before time runs out.",0.727814,"[{'name': 'Fox Film Corporation', 'id': 5488}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1934-09-12,0.0,79.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"When all others failed, they turned to...",Charlie Chan in London,6.1,10.0
"{'id': 38451, 'name': 'Charlie Chan (Warner Oland) Collection'}",0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",33393,en,Charlie Chan in Paris,"Charlie's visit to Paris, ostensibly a vacation, is really a mission to investigate a bond-forgery racket. But his agent, apache dancer Nardi is killed before she can tell him much. The case, complicated by a false murder accusation for banker's daughter Yvette, climaxes with a strange journey through the Paris sewers.",0.553082,"[{'name': 'Fox Film Corporation', 'id': 5488}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1935-01-21,0.0,72.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Charlie Chan in Paris,6.8,6.0
"{'id': 281097, 'name': 'Philo Vance Collection'}",0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 9648, 'name': 'Mystery'}]",87881,en,The Casino Murder Case,"When Philo Vance receives a note that harm will befall Lynn at the casino that night, he takes the threat seriously while the DA dismisses it. At the casino owned by Uncle Kinkaid, Lynn is indeed poisoned under the watchful eye of Philo. However, he recovers, but the same cannot be said for Lynn's wife Virginia, who is at the family home. Only a family member could have poisoned Lynn and Virginia and everyone has their dark motives. Philo will follow the clues and find the perpetrator.",0.065943,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1935-03-15,0.0,82.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Casino Murder Case,5.0,2.0
"{'id': 218406, 'name': 'Frankenstein (Universal Series)'}",393750.0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",229,en,Bride of Frankenstein,"Bride of Frankenstein begins where James Whale's Frankenstein from 1931 ended. Dr. Frankenstein has not been killed as previously portrayed and now he wants to get away from the mad experiments. Yet when his wife is kidnapped by his creation, Frankenstein agrees to help him create a new monster, this time a woman.",7.000417,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1935-04-21,0.0,75.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The monster demands a mate.,Bride of Frankenstein,7.4,208.0
"{'id': 259027, 'name': 'The Wolf Man (Universal Series)'}",0.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}]",27970,en,Werewolf of London,A strange animal attack turns a botanist into a bloodthirsty monster.,8.579045,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1935-05-13,0.0,75.0,"[{'iso_639_1': 'la', 'name': 'Latin'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]",Released,Beware the Stalking Being - Half-Human - Half-Beast!,Werewolf of London,6.4,32.0
