director_name,director_id,id,budget,popularity,revenue,runtime,title,vote_average,vote_count,release_year,release_month,release_day,collection_id,collection_name,War,Thriller,Music,Fantasy,TV Movie,Crime,Action,Documentary,Western,History,Family,Mystery,Romance,Animation,Drama,Comedy,Foreign,Adventure,Science Fiction,Horror,director_score,actor1_id,actor1_name,actor2_id,actor2_name,actor3_id,actor3_name,actor1_score,actor2_score,actor3_score,actor_score,company_name,company_id
Brian Henson,65298.0,10874,31000000,6.902423,34300000,100.0,Muppet Treasure Island,6.5,93.0,1996,2,16,256377,The Muppet Collection,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,27281507,13472.0,Tim Curry,19996.0,Kevin Bishop,12094.0,Jennifer Saunders,96176679.0,0.0,0.0,96176679,"['Walt Disney Pictures', 'Jim Henson Productions', 'Jim Henson Company, The']","[2, 2504, 6254]"
Michael Bay,865.0,9737,19000000,9.262184,141407024,118.0,Bad Boys,6.5,1729.0,1995,4,7,14890,Bad Boys Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2888.0,Will Smith,78029.0,Martin Lawrence,4939.0,Téa Leoni,6284090.0,70100000.0,73993006.0,50125699,"['Columbia Pictures', 'Don Simpson/Jerry Bruckheimer Films']","[5, 10288]"
Joel Schumacher,5572.0,414,100000000,13.321354,336529144,121.0,Batman Forever,5.2,1529.0,1995,6,16,120794,Batman Collection,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56332740,5576.0,Val Kilmer,2176.0,Tommy Lee Jones,206.0,Jim Carrey,27501551.0,116971463.125,176519270.25,106997428,"['Warner Bros.', 'Polygram Filmed Entertainment']","[6194, 31080]"
Paul Auster,46391.0,5894,2000000,11.528147,1300000,83.0,Blue in the Face,6.8,28.0,1995,9,15,439053,Brooklyn Cigar Store Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1037.0,Harvey Keitel,46392.0,Lou Reed,521.0,Michael J. Fox,59011230.07692308,810455.0,31431873.8,30417853,"['Miramax Films', 'InterAL']","[14, 30334]"
Robert Rodriguez,2294.0,8068,7000000,6.950458,25400000,104.0,Desperado,6.8,898.0,1995,8,25,9649,Mexico Trilogy,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2040920,3131.0,Antonio Banderas,3136.0,Salma Hayek,22462.0,Joaquim de Almeida,88670106.4,3267313.0,117973463.5,69970294,"['Columbia Pictures', 'Los Hooligans Productions']","[5, 11705]"
John McTiernan,1090.0,1572,90000000,15.138855,366101666,128.0,Die Hard: With a Vengeance,6.9,2094.0,1995,5,19,1570,Die Hard Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,124469791,62.0,Bruce Willis,16940.0,Jeremy Irons,2231.0,Samuel L. Jackson,74450866.27272727,158839741.8,93177383.0,108822664,"['Twentieth Century Fox Film Corporation', 'Cinergi Pictures Entertainment']","[306, 1504]"
Dwight H. Little,56998.0,9073,31000000,7.575098,30000000,95.0,Free Willy 2 - The Adventure Home,5.5,130.0,1995,7,19,9328,Free Willy Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26066960,18259.0,Jason James Richter,147.0,Michael Madsen,18261.0,Jayne Atkinson,153698625.0,50733146.125,153698625.0,119376799,"['Regency Enterprises', 'Alcor Films', 'Canal+', 'Donner/Shuler-Donner Productions', 'Warner Bros.']","[508, 644, 5358, 5739, 6194]"
Bryan Spicer,42111.0,9070,15000000,7.024227,66400000,92.0,Mighty Morphin Power Rangers: The Movie,5.2,153.0,1995,6,30,286162,Power Rangers Collection,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,56895.0,Amy Jo Johnson,50098.0,Jason David Frank,56896.0,David Yost,0.0,0.0,0.0,0,"['Twentieth Century Fox Film Corporation', 'Saban Entertainment', 'Toei Company']","[306, 2106, 9255]"
Wayne Wang,39819.0,10149,7000000,5.552946,8349430,112.0,Smoke,7.2,115.0,1995,6,9,439053,Brooklyn Cigar Store Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,16634008,1037.0,Harvey Keitel,227.0,William Hurt,4808.0,Giancarlo Esposito,59138656.15384615,13777481.333333334,14391353.833333334,29102497,['Miramax Films'],[14]
Roger Donaldson,21370.0,9348,35000000,13.492845,113400000,108.0,Species,5.5,457.0,1995,7,7,9887,Species Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,54731786,57395.0,Natasha Henstridge,2282.0,Ben Kingsley,147.0,Michael Madsen,0.0,96016337.5,41784438.0,68900388,['Metro-Goldwyn-Mayer (MGM)'],[8411]
Geoff Murphy,32277.0,3512,60000000,7.490247,104324083,100.0,Under Siege 2: Dark Territory,5.6,217.0,1995,7,13,112399,Under Siege Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38064513,23880.0,Steven Seagal,10866.0,Eric Bogosian,5616.0,Everett McGill,72820175.0,0.0,31347154.0,52083664,"['Regency Enterprises', 'Warner Bros.', 'Seagal/Nasso Productions', 'Victor Company of Japan (JVC)', 'Cutting Edge Films']","[508, 6194, 17825, 21480, 63906]"
Richard Linklater,564.0,76,2500000,11.304979,5987386,105.0,Before Sunrise,7.7,984.0,1995,1,27,123800,Before... Collection,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4610574,569.0,Ethan Hawke,1146.0,Julie Delpy,571.0,Andrea Eckert,24443434.5,27158903.0,0.0,25801169,"['Detour Film Production', 'Warner Bros.']","[98, 6194]"
Kevin Smith,19303.0,2292,27575,10.513367,3151130,92.0,Clerks,7.4,769.0,1994,9,13,182813,Clerks Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23629.0,Brian O'Halloran,23630.0,Jeff Anderson,19302.0,Jason Mewes,0.0,0.0,0.0,0,"['Miramax Films', 'View Askew Productions']","[14, 16934]"
Peter Farrelly,7396.0,8467,16000000,9.844558,247275374,107.0,Dumb and Dumber,6.5,1894.0,1994,12,16,96665,Dumb and Dumber Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,206.0,Jim Carrey,8447.0,Jeff Daniels,34485.0,Lauren Holly,152933902.33333334,86007087.6,41968566.0,93636519,"['New Line Cinema', 'Motion Picture Corporation of America (MPCA)']","[12, 11061]"
Neil Jordan,17016.0,628,60000000,11.970205,223664608,123.0,Interview with the Vampire,7.2,1558.0,1994,11,11,217704,The Vampire Chronicles,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,25247631,287.0,Brad Pitt,500.0,Tom Cruise,205.0,Kirsten Dunst,20173532.5,194038963.2,9612691.0,74608396,['Geffen Pictures'],[360]
George Lucas,1.0,11,11000000,42.149697,775398007,121.0,Star Wars,8.1,6778.0,1977,5,25,10,Star Wars Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,71218500,2.0,Mark Hamill,3.0,Harrison Ford,4.0,Carrie Fisher,0.0,72210000.0,60000000.0,66105000,"['Lucasfilm', 'Twentieth Century Fox Film Corporation']","[1, 306]"
John Pasquin,58072.0,11395,22000000,9.665424,189833357,97.0,The Santa Clause,6.3,501.0,1994,11,10,53159,The Santa Clause Collection,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,12898.0,Tim Allen,777.0,Judge Reinhold,19957.0,Wendy Crewson,0.0,60291358.5,34955612.333333336,47623485,"['Walt Disney Pictures', 'Hollywood Pictures']","[2, 915]"
Ernest R. Dickerson,15521.0,9059,13000000,9.455342,21089146,92.0,Tales from the Crypt: Demon Knight,6.7,96.0,1995,1,13,115142,Tales from the Crypt Collection,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13918446,1954.0,Billy Zane,6573.0,William Sadler,9575.0,Jada Pinkett Smith,25690471.2,55059228.333333336,21756161.0,34168620,"['Universal Pictures', 'Tales From The Crypt Holdings']","[33, 69626]"
David Carson,2380.0,193,38000000,8.105708,118071125,118.0,Star Trek: Generations,6.4,461.0,1994,11,17,115570,Star Trek: The Next Generation Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2387.0,Patrick Stewart,2388.0,Jonathan Frakes,1213786.0,Brent Spiner,35739755.0,0.0,0.0,35739755,['Paramount Pictures'],[4]
Tom Shadyac,4499.0,3049,15000000,11.247957,107217396,86.0,Ace Ventura: Pet Detective,6.4,1684.0,1994,2,4,3167,Ace Ventura Collection,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,206.0,Jim Carrey,586.0,Sean Young,14405.0,Courteney Cox,6050452.0,13659868.0,15379253.0,11696524,"['Warner Bros.', 'Morgan Creek Productions']","[6194, 10210]"
Phillip Noyce,13015.0,9331,62000000,7.513245,215900000,141.0,Clear and Present Danger,6.4,390.0,1994,8,3,192492,The Jack Ryan Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,76217156,3.0,Harrison Ford,5293.0,Willem Dafoe,10427.0,Anne Archer,202808008.75,35176864.14285714,58265641.5,98750171,"['Paramount Pictures', 'Mace Neufeld Productions']","[4, 2767]"
Alex Proyas,21085.0,9495,23000000,15.799336,93722164,102.0,The Crow,7.3,980.0,1994,5,11,9436,The Crow Collection,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57700.0,Brandon Lee,57701.0,Rochelle Davis,8874.0,Ernie Hudson,8316018.0,0.0,84249234.75,46282626,"['Miramax Films', 'Crowvision Inc.', 'Entertainment Media Investment Corporation', 'Jeff Most Productions', 'Edward R. Pressman Film']","[14, 4028, 4029, 4030, 6455]"
Brian Levant,13581.0,888,46000000,15.019586,341631208,91.0,The Flintstones,5.0,559.0,1994,5,26,351684,The Flintstones (Live-Action) Collection,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,89959374,1230.0,John Goodman,20.0,Elizabeth Perkins,8872.0,Rick Moranis,34021576.45454545,23962840.0,125255838.4,61080085,"['Universal Pictures', 'Amblin Entertainment', 'Hanna-Barbera Productions']","[33, 56, 1353]"
Wes Craven,5140.0,11596,8000000,9.860522,18090181,112.0,New Nightmare,6.4,297.0,1994,10,13,8581,A Nightmare on Elm Street Collection,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,26697123,5141.0,Heather Langenkamp,5139.0,Robert Englund,8186.0,Miko Hughes,0.0,27661694.5,103551755.5,65606725,['New Line Cinema'],[12]
Peter Segal,13426.0,36593,30000000,10.587232,132032598,83.0,The Naked Gun 33⅓: The Final Insult,6.4,535.0,1994,3,18,37139,Naked Gun Collection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7633.0,Leslie Nielsen,12949.0,Priscilla Presley,12950.0,George Kennedy,27010252.0,53676900.0,86930411.0,55872521,['Paramount Pictures'],[4]
Jan de Bont,2209.0,1637,30000000,10.859292,350448145,116.0,Speed,6.8,1814.0,1994,6,9,43064,Speed Collection,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6384.0,Keanu Reeves,2778.0,Dennis Hopper,18277.0,Sandra Bullock,65647464.42857143,6214186.0,14932507.6,28931386,['Twentieth Century Fox Film Corporation'],[306]
Steven E. de Souza,1726.0,11667,35000000,13.58449,99423521,102.0,Street Fighter,4.1,330.0,1994,12,22,261203,Street Fighter,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15111.0,Jean-Claude Van Damme,27888.0,Raúl Juliá,21702.0,Ming-Na Wen,64051951.14285714,82156069.83333333,32861136.0,59689719,"['Universal Pictures', 'Capcom']","[33, 7220]"
Andrew Morahan,53599.0,8011,30000000,6.866634,36700000,99.0,Highlander: The Final Dimension,4.5,110.0,1994,11,29,8050,Highlander Collection,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13357272,38559.0,Christopher Lambert,16214.0,Mario Van Peebles,13549.0,Deborah Kara Unger,7739633.0,47624253.0,0.0,27681943,"['Trans-Film', 'Initial Groupe', 'Lumière Pictures', 'Fallingcloud']","[2662, 22240, 25129, 30655]"
Barry Sonnenfeld,5174.0,2758,47000000,17.555909,48919043,94.0,Addams Family Values,6.5,537.0,1993,11,19,11716,Addams Family Collection,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,101324348,27888.0,Raúl Juliá,5657.0,Anjelica Huston,1062.0,Christopher Lloyd,91652896.0,39901530.0,134329534.0,88627987,"['Paramount Pictures', 'Orion Pictures', 'Scott Rudin Productions']","[4, 41, 258]"
John Badham,12840.0,9409,30000000,12.967239,30008496,105.0,Another Stakeout,4.9,58.0,1993,7,22,162028,Stakeout Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,57021935,3037.0,Richard Dreyfuss,2880.0,Emilio Estevez,12929.0,Rosie O'Donnell,58972131.0,35782331.75,180119976.5,91624813,['Touchstone Pictures'],[9195]
John Landis,4610.0,306,50000000,11.787784,119208989,104.0,Beverly Hills Cop III,5.5,445.0,1994,5,24,85861,Beverly Hills Cop Collection,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,83660799,776.0,Eddie Murphy,777.0,Judge Reinhold,1210.0,Héctor Elizondo,91870961.0,1373728.0,168726601.0,87323763,"['Paramount Pictures', 'Eddie Murphy Productions']","[4, 30]"
Paul Weiland,66548.0,11310,40000000,8.605703,72000000,116.0,City Slickers II: The Legend of Curly's Gold,4.9,103.0,1994,6,10,150156,City Slickers Collection,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,4600000,7904.0,Billy Crystal,11511.0,Daniel Stern,16165.0,Jon Lovitz,95052445.66666669,178668094.0,56364679.66666666,110028406,"['Columbia Pictures', 'Castle Rock Entertainment']","[5, 97]"
Simon Wincer,18254.0,1634,20000000,5.990572,153698625,112.0,Free Willy,6.0,429.0,1993,7,16,9328,Free Willy Collection,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7637800,18259.0,Jason James Richter,15309.0,Lori Petty,18260.0,August Schellenberg,0.0,81182371.0,8211952.0,44697162,"['Canal Plus', 'Regency Enterprises', 'Alcor Films', 'Warner Bros.', 'Donner/Shuler-Donner Productions']","[104, 508, 644, 6194, 23397]"
Andrew Davis,12989.0,5503,44000000,10.08937,183875799,130.0,The Fugitive,7.2,1240.0,1993,8,6,134011,The Fugitive / U.S. Marshals Collection,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,65259377,3.0,Harrison Ford,2176.0,Tommy Lee Jones,6068.0,Sela Ward,203940343.2,180984318.5,0.0,192462331,['Warner Bros.'],[6194]
Jim Abrahams,12936.0,9255,25000000,13.482371,133752825,86.0,Hot Shots! Part Deux,6.2,463.0,1993,5,21,52988,Hot Shots! Collection,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,85561820,6952.0,Charlie Sheen,2177.0,Lloyd Bridges,3124.0,Valeria Golino,59935600.4,64169103.0,110483399.4,78196034,"['Twentieth Century Fox Film Corporation', 'Sidley Wright & Associates']","[306, 11751]"
Steven Spielberg,488.0,329,63000000,8.863776,920100000,127.0,Jurassic Park,7.6,4956.0,1993,6,11,328,Jurassic Park Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,203514931,4783.0,Sam Neill,4784.0,Laura Dern,4785.0,Jeff Goldblum,53958005.8,10413434.0,9168738.333333334,24513393,"['Universal Pictures', 'Amblin Entertainment']","[33, 56]"
Christopher Cain,56828.0,11231,12000000,9.9697,15876353,107.0,The Next Karate Kid,4.8,202.0,1994,7,18,8580,The Karate Kid Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32230792,23915.0,Pat Morita,448.0,Hilary Swank,11086.0,Michael Ironside,35208854.0,16624456.0,86821108.6,46218140,['Columbia Pictures Corporation'],[441]
Fred Dekker,44056.0,5550,22000000,8.685798,10696210,104.0,RoboCop 3,4.2,309.0,1993,4,17,5547,RoboCop Collection,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2180678,31512.0,Robert John Burke,44038.0,Nancy Allen,44050.0,Mario Machado,9578686.5,29912586.5,45681173.0,28390815,['Orion Pictures'],[41]
Betty Thomas,31024.0,9066,12000000,4.233092,46600000,84.0,The Brady Bunch Movie,5.9,87.0,1995,2,16,224478,The Brady Bunch Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,56881.0,Shelley Long,21163.0,Gary Cole,15286.0,Christine Taylor,0.0,176997168.0,0.0,176997168,['Paramount Pictures'],[4]
Chris Columbus,10965.0,771,18000000,0.702543,476684675,103.0,Home Alone,7.1,2487.0,1990,11,9,9888,Home Alone Collection,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,34368475,11510.0,Macaulay Culkin,4517.0,Joe Pesci,11511.0,Daniel Stern,35188246.0,90357264.0,13857924.6,46467812,"['Twentieth Century Fox Film Corporation', 'Hughes Entertainment']","[306, 477]"
James Cameron,2710.0,280,102000000,22.661695,520000000,137.0,Terminator 2: Judgment Day,7.7,4274.0,1991,7,1,528,The Terminator Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,117229251,1100.0,Arnold Schwarzenegger,2713.0,Linda Hamilton,418.0,Robert Patrick,141879051.33333334,10045236.5,240031094.0,130651794,"['Lightstorm Entertainment', 'Pacific Western', 'Canal+', 'Carolco Pictures', 'T2 Productions']","[574, 1280, 5358, 14723, 61409]"
Tim Burton,510.0,268,35000000,19.10673,411348924,126.0,Batman,7.0,2145.0,1989,6,23,120794,Batman Collection,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57827480,514.0,Jack Nicholson,2232.0,Michael Keaton,326.0,Kim Basinger,43530908.8,23177399.0,15577074.4,27428461,"['PolyGram Filmed Entertainment', 'The Guber-Peters Company', 'Warner Bros.']","[1382, 4357, 6194]"
Jonathan Demme,16294.0,274,19000000,4.307222,272742922,119.0,The Silence of the Lambs,8.1,4549.0,1991,2,1,9743,The Hannibal Lecter Anthology,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11609549,1038.0,Jodie Foster,4173.0,Anthony Hopkins,349.0,Scott Glenn,4218354.5,2742912.0,103877339.0,36946202,"['Orion Pictures', 'Strong Heart/Demme Production']","[41, 55072]"
Kevin Yagher,176246.0,8766,4000000,5.263187,16675000,86.0,Hellraiser: Bloodline,4.9,111.0,1996,3,8,8917,Hellraiser Collection,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7039.0,Bruce Ramsay,2173.0,Valentina Vargas,55957.0,Charlotte Chatton,18576435.0,0.0,0.0,18576435,"['Miramax Films', 'Dimension Films', 'Trans Atlantic Entertainment']","[14, 7405, 15343]"
Brian De Palma,1150.0,954,80000000,15.793477,457696391,110.0,Mission: Impossible,6.7,2677.0,1996,5,22,87359,Mission: Impossible Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,42330268,500.0,Tom Cruise,10127.0,Jon Voight,4885.0,Emmanuelle Béart,218734248.25,187436818.0,1666511.0,135945859,"['Paramount Pictures', 'Cruise/Wagner Productions']","[4, 44]"
Jean-Marie Poiré,64909.0,11687,9500000,7.326169,98800000,107.0,The Visitors,7.1,433.0,1993,1,27,52888,The Visitors Collection,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1003.0,Jean Reno,62531.0,Valérie Lemercier,28781.0,Christian Clavier,5000000.0,0.0,0.0,5000000,"['Canal Plus', 'Gaumont International', 'France 3 Cinema']","[104, 7961, 16804]"
Danny Boyle,2034.0,627,4000000,19.348466,72000000,93.0,Trainspotting,7.8,2737.0,1996,2,23,424202,Trainspotting Collection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43402608,3061.0,Ewan McGregor,1125.0,Ewen Bremner,9012.0,Jonny Lee Miller,0.0,113493481.0,7563728.0,60528604,"['Miramax Films', 'Channel Four Films', 'Noel Gay Motion Picture Company', 'Figment Films', 'Film4']","[14, 181, 358, 359, 9349]"
Roland Emmerich,6046.0,602,75000000,17.634197,817400891,145.0,Independence Day,6.7,3334.0,1996,6,25,304378,Independence Day Collection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,196567262,2888.0,Will Smith,8984.0,Bill Pullman,4785.0,Jeff Goldblum,73845557.0,97447307.0,224675948.4,131989604,"['Twentieth Century Fox Film Corporation', 'Centropolis Entertainment']","[306, 347]"
Tom Shadyac,4499.0,9327,54000000,9.651581,128769345,95.0,The Nutty Professor,5.4,717.0,1996,6,26,86028,The Nutty Professor Collection,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,107217396,776.0,Eddie Murphy,9575.0,Jada Pinkett Smith,5563.0,James Coburn,73027247.25,21622758.0,100874066.6,65174691,"['Imagine Entertainment', 'Universal Pictures']","[23, 33]"
Arlene Sanford,15042.0,12606,12000000,9.898696,21400000,90.0,A Very Brady Sequel,5.8,42.0,1996,8,23,224478,The Brady Bunch Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,56881.0,Shelley Long,21163.0,Gary Cole,31468.0,Christopher Daniel Barnes,46576136.0,111786652.0,46576136.0,68312975,['Paramount Pictures'],[4]
Tim Pope,65602.0,10546,13000000,6.554679,25317287,84.0,The Crow: City of Angels,5.2,119.0,1996,8,29,9436,The Crow Collection,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20239.0,Vincent Pérez,18658.0,Mia Kirshner,13604.0,Iggy Pop,1318578.0,16860518.0,53932247.5,24037114,['Miramax Films'],[14]
Gilbert Adler,10953.0,9431,15000000,3.450402,5600000,87.0,Bordello of Blood,5.0,63.0,1996,8,16,115142,Tales from the Crypt Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18326.0,Dennis Miller,23764.0,Эрика Элениак,58312.0,Angie Everhart,110500438.33333331,52835266.0,9851610.0,57729105,"['Universal Pictures', 'Tales From The Crypt Holdings', 'Universal City Studios']","[33, 69626, 69627]"
John Carpenter,11770.0,10061,50000000,12.229381,42277365,97.0,Escape from L.A.,5.6,381.0,1996,8,9,115838,Escape From ... Collection,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,11982884,6856.0,Kurt Russell,825.0,Stacy Keach,884.0,Steve Buscemi,90939671.8,5617391.0,38543058.833333336,45033374,"['Paramount Pictures', 'Rysher Entertainment']","[4, 11661]"
