budget,genres,id,popularity,revenue,runtime,tagline,title,vote_average,vote_count,release_year,release_month,release_day,collection_id,collection_name
0.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",33387,0.533025,0.0,70.0,,Charlie Chan at the Race Track,6.9,9.0,1936,8,14,38451,Charlie Chan (Warner Oland) Collection
0.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",38661,1.610075,0.0,89.0,It's New! It's amazing! 2 years to produce!,Tarzan Escapes,6.3,14.0,1936,11,6,65249,Tarzan (Johnny Weissmuller series)
0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",28044,1.430149,0.0,68.0,A fiendish killer lurks at the opera! Weird! Thrilling! The Master Minds of Crime Match Wits Against Each Other!,Charlie Chan at the Opera,6.6,14.0,1936,12,5,38451,Charlie Chan (Warner Oland) Collection
0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",14588,7.201727,0.0,112.0,Continuing the fun in their NEW hit!,After the Thin Man,7.1,30.0,1936,12,25,47814,The Thin Man Collection
0.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",25148,1.131624,0.0,71.0,Murderous Spies invade Olympic Games!,Charlie Chan at the Olympics,7.0,7.0,1937,5,21,38451,Charlie Chan (Warner Oland) Collection
500000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",23101,3.1574,0.0,97.0,90 ROARING MINUTES OF LAUGHS!,Topper,6.2,21.0,1937,7,16,438087,Topper Collection
0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",59566,3.997872,0.0,67.0,Meet.... MR. MOTO the foxiest detective of them all!,"Think Fast, Mr. Moto",6.2,8.0,1937,7,27,89959,Mr. Moto Collection
0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",38454,0.839146,0.0,68.0,,Charlie Chan on Broadway,7.3,8.0,1937,9,22,38451,Charlie Chan (Warner Oland) Collection
0.0,"[{'id': 9648, 'name': 'Mystery'}]",105073,0.606175,0.0,62.0,Scourge of the underworld!,The Shadow Strikes,3.7,3.0,1937,10,29,105075,The Shadow Collection
0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",38455,0.714825,0.0,71.0,"Triple murder for high stakes! A new high in mystery excitement! And laughs, too!",Charlie Chan at Monte Carlo,6.5,7.0,1937,12,17,38451,Charlie Chan (Warner Oland) Collection
0.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",59581,0.733865,0.0,67.0,,"Thank You, Mr. Moto",5.1,5.0,1937,12,24,89959,Mr. Moto Collection
0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",160162,0.244976,0.0,63.0,BEWARE! Snappy Snoopy Blonde at Work!,Blondes at Work,7.3,2.0,1938,2,5,393326,Torchy Blane
0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",59584,1.060894,0.0,72.0,,Mr. Moto's Gamble,6.3,5.0,1938,4,7,89959,Mr. Moto Collection
0.0,"[{'id': 99, 'name': 'Documentary'}]",685,0.818906,0.0,100.0,,Olympia Part Two: Festival of Beauty,6.2,14.0,1938,4,20,404148,Olympia
0.0,"[{'id': 99, 'name': 'Documentary'}]",677,1.530927,0.0,126.0,,Olympia Part One: Festival of the Nations,6.6,17.0,1938,4,20,404148,Olympia
0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",171346,0.642796,0.0,59.0,,Torchy Blane in Panama,6.0,2.0,1938,5,7,393326,Torchy Blane
0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",38774,0.539182,0.0,63.0,,Mr. Moto Takes a Chance,5.2,3.0,1938,6,24,89959,Mr. Moto Collection
0.0,"[{'id': 18, 'name': 'Drama'}]",42390,1.437573,0.0,96.0,"No boy is bad, if given a chance!",Boys Town,6.6,25.0,1938,9,9,413937,Father Flanagan Collection
0.0,"[{'id': 18, 'name': 'Drama'}]",129417,0.981955,0.0,98.0,,The Childhood of Maxim Gorky,7.3,4.0,1938,9,27,175722,The Gorky Collection
0.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",29484,1.282223,0.0,62.0,Peter Lorre gives you your greatest thrill,Mysterious Mr. Moto,5.1,4.0,1938,10,14,89959,Mr. Moto Collection
0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}]",47883,0.150389,0.0,66.0,,Nancy Drew: Detective,7.5,3.0,1938,11,19,354066,The Nancy Drew Collection (Bonita Granville)
0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",54430,0.947509,0.0,80.0,A merry romance packed with fun!,Topper Takes a Trip,6.3,3.0,1938,12,29,438087,Topper Collection
0.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",33392,0.606726,0.0,67.0,,Charlie Chan in Honolulu,6.9,5.0,1938,12,30,413661,Charlie Chan (Sidney Toler) Collection
0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",14589,1.881187,0.0,103.0,Their Merriest Hit! Mr. and Mrs. Thin Man Have a B-A-B-Y!,Another Thin Man,7.0,20.0,1939,1,1,47814,The Thin Man Collection
0.0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",3077,3.563588,0.0,99.0,The black shadows of the past bred this half-man . . . half-demon ! . . . creating a new and terrible juggernaut of destruction !,Son of Frankenstein,7.0,42.0,1939,1,13,218406,Frankenstein (Universal Series)
0.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",18705,0.838547,0.0,71.0,,Mr. Moto's Last Warning,5.5,6.0,1939,1,20,89959,Mr. Moto Collection
0.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}]",149793,0.3154,0.0,71.0,WANTED As A Spy Suspect!,The Lone Wolf Spy Hunt,7.0,1.0,1939,1,27,395433,Lone Wolf film series
0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",23280,0.811435,0.0,68.0,STOP THE PRESSES! Nancy's on the trail of a terrific SCOOP!,Nancy Drew... Reporter,6.7,5.0,1939,2,18,354066,The Nancy Drew Collection (Bonita Granville)
0.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",27118,2.722222,0.0,80.0,,The Hound of the Baskervilles,7.3,45.0,1939,3,31,478628,Sherlock Holmes (1939 series)
0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",59589,0.224115,0.0,64.0,HUNTED BY THE POLICE!...STALKED BY A KILLER!,Mr. Moto in Danger Island,6.5,6.0,1939,4,7,89959,Mr. Moto Collection
0.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",40044,2.40912,0.0,82.0,Super Story of a Super Man ! The Titan of all Tarzans . . . Giant of all jungle thrills . . . worth the years it took to make !,Tarzan Finds a Son!,5.8,22.0,1939,6,16,65249,Tarzan (Johnny Weissmuller series)
0.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",33394,1.02741,0.0,70.0,,Charlie Chan in Reno,6.3,4.0,1939,6,16,413661,Charlie Chan (Sidney Toler) Collection
0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}]",47884,0.270507,0.0,68.0,,Nancy Drew... Trouble Shooter,7.5,3.0,1939,6,17,354066,The Nancy Drew Collection (Bonita Granville)
0.0,"[{'id': 9648, 'name': 'Mystery'}]",74545,1.068317,0.0,72.0,He's at it again! Fiction's fighting man of mystery! Chasing down the most dramatic crime in London legend! Shock-charged drama--with a peppery bit of love on the side! You'll laugh--shiver--THRILL!,The Saint In London,5.4,5.0,1939,6,30,86224,The Saint Collection
0.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",59701,0.165704,0.0,71.0,,Mr. Wong in Chinatown,4.5,3.0,1939,8,1,220448,Mr. Wong Collection
0.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",33388,0.597515,0.0,72.0,The strange case of murder by magic!,Charlie Chan at Treasure Island,6.6,9.0,1939,8,31,413661,Charlie Chan (Sidney Toler) Collection
0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",17481,2.561651,0.0,85.0,The Struggle of Super-Minds in the Crime of the Century!,The Adventures of Sherlock Holmes,7.2,26.0,1939,9,1,478628,Sherlock Holmes (1939 series)
0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",47882,0.153571,0.0,60.0,,Nancy Drew and the Hidden Staircase,7.4,4.0,1939,9,9,354066,The Nancy Drew Collection (Bonita Granville)
0.0,[],148536,0.277691,0.0,100.0,,My Apprenticeship,5.0,1.0,1939,9,12,175722,The Gorky Collection
0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",33389,1.068644,0.0,75.0,PARIS! BLACKOUT!...but there's no blackout for crime...and the great detective is commandeered!,City in Darkness,6.8,6.0,1939,11,15,413661,Charlie Chan (Sidney Toler) Collection
0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}]",47404,0.081235,0.0,59.0,THE WIZARD OF CLUES!!! Nick Carter lives again in the fierce brutal...dangerous era of TODAY!,"Nick Carter, Master Detective",6.0,1.0,1939,12,15,47400,Nick Carter Collection
0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",28421,1.360563,0.0,81.0,,The Invisible Man Returns,6.3,17.0,1940,1,12,259401,The Invisible Man (Universal Series)
0.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",59706,0.614139,0.0,68.0,,The Fatal Hour,6.5,4.0,1940,1,15,220448,Mr. Wong Collection
0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",85232,0.116017,0.0,67.0,,The Lone Wolf Strikes,6.5,2.0,1940,1,26,395433,Lone Wolf film series
0.0,"[{'id': 35, 'name': 'Comedy'}]",3937,0.44415,0.0,72.0,,Blondie on a Budget,6.5,4.0,1940,2,29,177062,Blondie Collection
0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 35, 'name': 'Comedy'}]",38458,0.380712,0.0,66.0,One more minute... and the fleet is doomed!,Charlie Chan in Panama,6.8,7.0,1940,3,1,413661,Charlie Chan (Sidney Toler) Collection
0.0,"[{'id': 35, 'name': 'Comedy'}]",13861,1.226779,0.0,85.0,Ready For Fun . . Fight . . or a South Seas Romance . . . ! They find them all on the . . .,Road to Singapore,6.7,12.0,1940,3,22,135441,Road to Collection
0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",38456,0.860084,0.0,77.0,DEATH AFLOAT...striking swiftly. suddenly...leaving on each strangled victim a calling card of crimson coin...thirty pieces of silver!,Charlie Chan's Murder Cruise,7.3,6.0,1940,5,2,413661,Charlie Chan (Sidney Toler) Collection
0.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",85231,0.071784,0.0,71.0,,The Lone Wolf Meets a Lady,6.8,2.0,1940,5,30,395433,Lone Wolf film series
0.0,"[{'id': 35, 'name': 'Comedy'}]",3936,0.486412,0.0,72.0,No one can hold a candle to them...when it comes to uproarious...wholesome fun!,Blondie Has Servant Trouble,7.7,3.0,1940,7,25,177062,Blondie Collection
0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",22965,0.456508,0.0,68.0,The master of crime cleans up the dirty game of murder!,Doomed to Die,6.4,5.0,1940,8,12,220448,Mr. Wong Collection
0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}]",38457,0.514756,0.0,63.0,FOUR TIMES IN 18 EERIE MINUTES CHARLIE CHAN FACES DEATH! -- Death from a poison dart! -- Death from a streaking bullet! -- Death from a gleaming dagger!,Charlie Chan at the Wax Museum,8.4,5.0,1940,9,6,413661,Charlie Chan (Sidney Toler) Collection
0.0,"[{'id': 27, 'name': 'Horror'}]",31498,1.622519,0.0,67.0,The tomb of a thousand terrors!,The Mummy's Hand,6.5,14.0,1940,9,20,221544,The Mummy (Universal Series)
0.0,"[{'id': 9648, 'name': 'Mystery'}]",47401,0.331435,0.0,72.0,,Sky Murder,6.0,1.0,1940,9,27,47400,Nick Carter Collection
0.0,"[{'id': 35, 'name': 'Comedy'}]",3938,0.56455,0.0,72.0,,Blondie Plays Cupid,7.0,3.0,1940,10,31,177062,Blondie Collection
2280000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}]",756,8.03796,83320000.0,124.0,The most sensational sound you'll ever see!,Fantasia,7.2,831.0,1940,11,13,55427,Fantasia Collection
0.0,"[{'id': 35, 'name': 'Comedy'}]",74384,0.400952,0.0,0.0,,San Giovanni decollato,5.7,3.0,1940,12,12,421566,Totò Collection
0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",38459,0.816624,0.0,65.0,,Murder Over New York,6.3,6.0,1940,12,13,413661,Charlie Chan (Sidney Toler) Collection
0.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",23338,0.11681,0.0,68.0,,Pride of the Bowery,6.5,2.0,1940,12,15,415799,East Side Kids
0.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}]",28423,1.294231,0.0,72.0,IT'S A Ghost-to-Ghost HOOK-UP!,The Invisible Woman,6.0,5.0,1940,12,27,259401,The Invisible Man (Universal Series)
0.0,"[{'id': 35, 'name': 'Comedy'}]",3941,0.411367,0.0,72.0,Where there's a Bumstead...there's always trouble and fun!,Blondie Goes Latin,8.0,3.0,1941,2,27,177062,Blondie Collection
0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",44875,1.000254,0.0,88.0,Topper's having girl trouble again!,Topper Returns,5.8,9.0,1941,3,21,438087,Topper Collection
